Product_Name,Product_Code,Unit_Price,Qty_in_Stock,Description
"Canon imageRUNNER ADVANCE DX 719/619/529 Series",CANON-IRDX-719619529-SER,0,0,"A4 monochrome laser MFP family (ADV DX) — quote 529i (~52 ppm A4), 619i (~61 ppm A4), or 719i (~71 ppm A4) per regional SKU. Typical themes: 10.1 in. class colour touch UI, high-speed duplex scan (DADF-dependent), cloud (e.g. uniFLOW Online Express / Universal Print where bundled), TPM-class device security. Confirm exact model letters, DADF, fax, and finisher on the quote line. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 6980i",CANON-IRDX-6980I,0,0,"A3 monochrome laser MFP (ADV DX) — high-volume positioning (~80 ppm A4 class); large paper capacity and extensive finishing options (staple / booklet / punch etc., region- and option-dependent). 10.1 in. class UI; advanced security and fleet features. Confirm engine config, finishers, and paper decks on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 4900 Series",CANON-IRDX-4900-SER,0,0,"A3 monochrome laser MFP series (ADV DX) — sustainable / productivity positioning; typically ~60–70 ppm A4 class depending on model (e.g. 6860i / 6870i family, market-specific). Smart scan and workflow features; optional finishers and high-capacity paper. Pick exact model and options on the quote line. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX 4800 Series",CANON-IRDX-4800-SER,0,0,"A3 monochrome laser MFP series (ADV DX) — models such as DX 4825i (~25 ppm A4), 4835i (~35 ppm), 4845i (~45 ppm); up to ~270 ipm A4 duplex scan (config-dependent); 10.1 in. colour touch panel; uniFLOW Online Express as standard where stated; TPM 2.0 / Verify System at Startup positioning. Optional staple and booklet finishers. Collateral: Attachments."
"Canon imageFORCE 1440 Series",CANON-IF-1440-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — compact desktop/workgroup line; fast print and scan for essential office workflows; modern UI and connectivity (market-dependent). Typical speeds ~40 ppm A4 class on IF1440 variants. Confirm model (e.g. print vs fax), trays, and security bundle on the quote. Collateral: Attachments."
"Canon imageFORCE 1643 Series",CANON-IF-1643-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — SMB/workgroup positioning; secure processing and reliability themes; speeds typically low- to mid-40 ppm A4 class depending on model. Confirm exact SKU, ADF/DADF, and trays on the quote. Collateral: Attachments."
"Canon imageFORCE 6100 Series",CANON-IF-6100-SER,0,0,"A3 monochrome laser MFP (imageFORCE) — flexible print/scan for changing workgroups; mid- to high-speed tiering by model (confirm regional model list). Optional finishers and high paper capacity. Pick engine model and accessories on the quote line. Collateral: Attachments."
"Canon imageFORCE 710 Series",CANON-IF-710-SER,0,0,"A4 monochrome laser MFP (imageFORCE) — high productivity for busy offices and large workgroups; feature-rich UI and security positioning. Confirm speed tier, scan configuration, and finishers on the quote. Collateral: Attachments."
"Canon imageFORCE 8100 Series",CANON-IF-8100-SER,0,0,"A3 monochrome laser MFP (imageFORCE) — very high speed line; Canon cites ~86–105 ppm (A4) depending on model for heavy departmental/production-style mono workloads. Extensive finishing and paper options (region-dependent). Confirm model (e.g. IF8105 vs IF8195 class) and finisher stack on the quote. Collateral: Attachments."
"Canon imageRUNNER 2900 Series",CANON-IR-2900-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — successor positioning to prior 2700-class A3 mono line; enhanced security and reliability; speeds typically ~25–45 ppm A4 depending on model (e.g. 2925 / 2930 / 2945 family — confirm regional names). 7 in. or larger touch UI (model-dependent). Optional inner/staple finishers. Collateral: Attachments."
"Canon imageRUNNER 2700 Series",CANON-IR-2700-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — models such as 2725i (~25 ppm A4), 2730i (~30 ppm), 2745i (~45 ppm); ~7 in. colour touchscreen; up to ~70 ipm scan (config-dependent); Wi‑Fi/mobile/cloud connectivity themes; optional inner finisher and staple. Collateral: Attachments."
"Canon imageRUNNER 2425 Series",CANON-IR-2425-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — smart secure A3 mono with cloud connectivity; ~25 ppm A4 class; workflow and security features for general office. Confirm DADF/finisher and fax options on the quote. Collateral: Attachments."
"Canon imageRUNNER 2425 II Series",CANON-IR-2425II-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — Gen II refresh; up to ~25 ppm A4; class-leading scan speeds up to ~70 ipm (DADF, config-dependent); 7 in. colour touchscreen; advanced security (Verify System at Startup, SIEM support, etc., per Canon datasheet). Optional finishers. Collateral: Attachments."
"Canon imageRUNNER 2224 Series",CANON-IR-2224-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — cost-effective ~24 ppm A4 class line; print / copy / scan / send (and fax on selected models); compact footprint for office environments. Confirm 2224 vs 2224i/2224N variants and options on the quote. Collateral: Attachments."
"Canon imageRUNNER 2224 II Series",CANON-IR-2224II-SER,0,0,"A3 monochrome laser MFP (imageRUNNER) — Gen II refresh of the 2224 family; improved productivity and security positioning vs prior generation; ~24 ppm A4 class (confirm exact model suffixes in your region). Finishing and ADF options on the quote line. Collateral: Attachments."
"Canon imageRUNNER 1643 II Series",CANON-IR-1643II-SER,0,0,"A4 monochrome laser MFP (imageRUNNER) — efficient desktop/workgroup line with very fast print and scan; advanced connectivity; typically low- to mid-40 ppm A4 class. Confirm 1643i II vs 1643iF II (fax) and trays on the quote. Collateral: Attachments."
