Product_Name,Product_Code,Unit_Price,Qty_in_Stock,Description
Canon colorWAVE T-series,CANON-CW-T-SER,0,0,"Large-format colour technical printer — CrystalPoint technology for CAD/GIS, technical documents, and posters; scalable platform positioning (Canon large-format technical segment). Confirm configuration and software on the quote. Collateral: Attachments."
Canon plotWAVE T30 / T35,CANON-PW-T3035,0,0,"Monochrome CAD / technical — plotWAVE T30 or T35 (6th generation); two-roll; Canon cites about 4 A1/min (T30) and 6 A1/min (T35). Choose tier on the quote. Collateral: Attachments."
Canon plotWAVE T50 / T55,CANON-PW-T5055,0,0,"Monochrome CAD / technical — plotWAVE T50 or T55 (6th generation); four rolls and sheet feeder positioning; Canon cites about 8 A1/min (T50) and 10 A1/min (T55). Choose tier on the quote. Collateral: Attachments."
Canon plotWAVE T75,CANON-PW-T75,0,0,"Monochrome CAD / technical — plotWAVE T75 (6th generation); six rolls; Canon cites about 10 A1/min; sheet feeder in product positioning. Confirm stacker and options on the quote. Collateral: Attachments."
Canon imagePROGRAF TZ-32000,CANON-IPF-TZ32000,0,0,"36 in. five-colour production printer — TZ-32000 for high-volume technical / AEC-style environments; productivity, ease of use, quality, and security themes. Confirm MFP and finishing on the quote. Collateral: Attachments."
Canon imagePROGRAF TX series,CANON-IPF-TX-SER,0,0,"Five-colour technical line — TX-3200 (36 in.) and TX-4200 (44 in.) for corporate, government, and PSP AEC&M segments. Confirm width and security/stacker options on the quote. Collateral: Attachments."
Canon imagePROGRAF TM series,CANON-IPF-TM-SER,0,0,"Technical / retail / education line — TM-255 (24 in., HDD in regional copy), TM-350 / TM-355 (36 in.); quiet-operation positioning. Confirm model on the quote. Collateral: Attachments."
Canon imagePROGRAF TC-21,CANON-IPF-TC21,0,0,"Compact 24 in. desktop large-format — TC-21 for SOHO AEC, retail, hospitality, and schools. Collateral: Attachments (TC-line brochure where TC-21-specific PDF is unavailable)."
Canon imagePROGRAF PRO series,CANON-IPF-PRO-SER,0,0,"Twelve-colour photo / fine-art line — PRO-2600 (24 in.), PRO-4600 (44 in.), PRO-6600 (60 in.); LUCIA PRO II generation positioning. Confirm width on the quote. Collateral: Attachments."
Canon imagePROGRAF PRO-1100,CANON-IPF-PRO1100,0,0,"A2 professional photo printer — PRO-1100; desktop class for deep blacks and fine detail. Collateral: Attachments."
Canon imagePROGRAF GP-S series,CANON-IPF-GPS-SER,0,0,"Seven-colour poster line — GP-2600S (24 in.), GP-4600S (44 in.), GP-6600S (60 in.) for retail, franchise, and PSP poster work. Confirm width on the quote. Collateral: Attachments."
Canon imagePROGRAF GP series (graphics),CANON-IPF-GP-CG-SER,0,0,"Eleven-colour graphics line — GP-2000 (24 in.) and GP-4000 (44 in.) for computer graphics and poster applications. Confirm width on the quote. Collateral: Attachments."
