Product_Name,Product_Code,Unit_Price,Qty_in_Stock,Description
"Canon imageFORCE C3150",CANON-IF-C3150,0,0,"A3 colour laser multifunction — up to 50 ppm (A4 class); up to 4800 × 2400 dpi class output; very high-speed duplex scan (e.g. ~270 ipm class, 300 dpi, config-dependent); large optional paper to multi-thousand sheets. PDLS typically UFR II, PCL6, PostScript. Finisher, punch, and paper options on the quote line. Collateral: Attachments."
"Canon imageFORCE C7165",CANON-IF-C7165,0,0,"A3 colour laser multifunction — up to 65–70 ppm (BW/CL, A4 / cassette-dependent); up to 4800 × 2400 dpi; 200-sheet single-pass DADF; high maximum paper; long-sheet and heavy media to ~300 gsm (tray dependent). D2 / marketing-quality positioning. Finishing and accessories on the quote. Collateral: Attachments."
"Canon imageFORCE C1333 series",CANON-IF-C1333-SER,0,0,"Compact A4 colour laser line — e.g. C1333F (print/copy/scan, fax on applicable configs); up to 33 ppm; 1200 × 1200 dpi class; 5 in. touch UI; high-speed wired/wireless (regional). Confirm MFP vs print-only and trays on the quote. Collateral: Attachments."
"Canon imageFORCE C5100 series",CANON-IF-C5100-SER,0,0,"AI-enabled A3 colour laser series — C5140 / C5150 / C5160 / C5170 (40–70 ppm A4 by model); 4800 × 2400 dpi class; 10.1 in. UI; 270 ipm class scan; optional imagePASS and extensive finishers (staple, saddle, fold, hole punch, etc., region/option). Pick engine tier and finisher on the quote. Collateral: Attachments."
"Canon imageFORCE C611 series",CANON-IF-C611-SER,0,0,"A4 colour high-speed MFP series — to ~61 ppm (A4, model/region); up to 190 ipm class duplex scan; 10.1 in. panel; 256 GB SSD; large max paper. Optional wireless and finishers. Confirm exact model (e.g. C611 family) and options on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX C478 series",CANON-IRDX-C478-SER,0,0,"A4 colour MFP line — up to 47 ppm; up to 190 ipm A4 scan; 10.1 in. colour touch panel; 256 GB SSD; TPM/encrypted storage positioning. C478i (base) vs C478iZ (internal finisher with staple/offset). Cloud (uniFLOW, Universal Print, etc.). Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX C3900 series",CANON-IRDX-C3900-SER,0,0,"A3 colour MFP series for hybrid work — C3922i / C3926i / C3930i / C3935i (22–35 ppm A4 by model); 270 ipm class scan with DADF; 10.1 in. panel; C-EXV 64 class toner. Optional Staple Finisher-AE1 and Booklet Finisher-AE1. Confirm model and finisher on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX C3730i ES",CANON-IRDX-C3730-ES,0,0,"Remanufactured A3 colour MFP (ES) — up to 30 ppm A4 / 15 ppm A3; 1200 × 1200 dpi class; 10.1 in. panel; high reused-materials/sustainability story. Optional Inner Finisher-K1 ES and fax options. Security and mobile/cloud (regional). Collateral: Attachments."
"Canon imageRUNNER ADVANCE DX C259/C359 series",CANON-IRDX-C259359-SER,0,0,"Compact A4 colour MFP line — e.g. C259i to ~25 ppm; C359i / C359P to ~35 ppm; up to 190 ipm A4 scan; 10.1 in. panel; 256 GB SSD. Multi-function vs print-only (C359P) where offered. Finisher and trays on the quote. Collateral: Attachments."
"Canon imageRUNNER ADVANCE C5500 ES II series",CANON-IRAC55-ES2-SER,0,0,"Remanufactured A3 high-volume colour line (ES II) — e.g. C5540i ES+ II / C5560i ES+ II (40 / 60 ppm A4 class); 160 ipm class scan; 1200 × 1200 dpi; 320 GB HDD. ES sustainability positioning. Optional Inner/Booklet/Staple finisher (Y1 ES, etc., regional). Collateral: Attachments."
"Canon imageRUNNER C3326i",CANON-IR-C3326I,0,0,"A3 colour laser multifunction — up to 26 ppm A4 / 20 ppm A4R / 15 ppm A3; 7 in. touch panel; 2 GB RAM; 64 GB eMMC (SSD optional); 1,200+ sheets to large max. Wide media range (e.g. 52–300 gsm in MP tray). UFR II, PCL6, optional PostScript. Finisher and DADF on the quote. Collateral: Attachments."
